"","date","team1","team1_score","team2","team2_score","map","event","winner","win_margin"
"1470","14/5/19","Winstrike","6","x-kom","16","Mirage","UCC Summer Smash","Winstrike",10
"1471","13/5/19","eUnited","16","NRG","5","Overpass","ECS Season 7 North America Week 4","NRG",11
"1472","13/5/19","NRG","16","eUnited","13","Nuke","ECS Season 7 North America Week 4","NRG",3
"1473","13/5/19","eUnited","16","NRG","12","Vertigo","ECS Season 7 North America Week 4","eUnited",4
"1474","13/5/19","mousesports","16","G2","7","Dust2","ECS Season 7 Europe Week 4","G2",9
"1475","13/5/19","mousesports","16","G2","9","Train","ECS Season 7 Europe Week 4","G2",7
"1476","13/5/19","NiP","16","Epsilon","12","Inferno","ECS Season 7 Europe Week 4","NiP",4
"1477","13/5/19","Epsilon","5","NiP","16","Train","ECS Season 7 Europe Week 4","Epsilon",11
"1478","13/5/19","FaZe","6","Virtus.pro","16","Mirage","ECS Season 7 Europe Week 4","FaZe",10
"1479","13/5/19","Virtus.pro","13","FaZe","16","Overpass","ECS Season 7 Europe Week 4","FaZe",3
"1480","13/5/19","FaZe","10","Virtus.pro","16","Nuke","ECS Season 7 Europe Week 4","Virtus.pro",6
"1481","13/5/19","AVANGAR","16","forZe","4","Train","ECS Season 7 Europe Week 4","forZe",12
"1482","13/5/19","forZe","7","AVANGAR","16","Inferno","ECS Season 7 Europe Week 4","forZe",9
"1483","13/5/19","Nemiga","16","Epsilon","10","Inferno","UCC Summer Smash","Nemiga",6
"1484","13/5/19","Nemiga","12","Epsilon","16","Overpass","UCC Summer Smash","Epsilon",4
"1485","13/5/19","Nemiga","16","Epsilon","8","Mirage","UCC Summer Smash","Epsilon",8
"1486","12/5/19","Winstrike","16","AGO","12","Dust2","Good Game League 2019 Qualifier 3 Olsztyn","Winstrike",4
"1487","12/5/19","Winstrike","10","AGO","16","Train","Good Game League 2019 Qualifier 3 Olsztyn","AGO",6
"1488","12/5/19","AGO","13","Winstrike","16","Mirage","Good Game League 2019 Qualifier 3 Olsztyn","Winstrike",3
"1489","12/5/19","Winstrike","16","Sprout","8","Overpass","Good Game League 2019 Qualifier 3 Olsztyn","Sprout",8
"1490","12/5/19","Sprout","13","Winstrike","16","Mirage","Good Game League 2019 Qualifier 3 Olsztyn","Winstrike",3
"1491","12/5/19","Sprout","19","Winstrike","17","Nuke","Good Game League 2019 Qualifier 3 Olsztyn","Sprout",2
"1492","11/5/19","Astralis","13","ENCE","16","Train","BLAST Pro Series Madrid 2019","ENCE",3
"1493","11/5/19","ENCE","16","Astralis","9","Nuke","BLAST Pro Series Madrid 2019","Astralis",7
"1494","11/5/19","Cloud9","11","Astralis","16","Inferno","BLAST Pro Series Madrid 2019","Astralis",5
"1495","11/5/19","NiP","16","Natus Vincere","9","Dust2","BLAST Pro Series Madrid 2019","Natus Vincere",7
"1496","11/5/19","Cloud9","14","NiP","16","Nuke","BLAST Pro Series Madrid 2019","NiP",2
"1497","11/5/19","Astralis","13","ENCE","16","Dust2","BLAST Pro Series Madrid 2019","ENCE",3
"1498","11/5/19","Natus Vincere","13","Astralis","16","Dust2","BLAST Pro Series Madrid 2019","Astralis",3
"1499","11/5/19","Cloud9","11","ENCE","16","Nuke","BLAST Pro Series Madrid 2019","ENCE",5
"1500","11/5/19","Winstrike","16","AGO","13","Vertigo","Good Game League 2019 Qualifier 3 Olsztyn","Winstrike",3
"1501","11/5/19","FURIA","16","Complexity","9","Mirage","ESL One Cologne 2019 North America Closed Qualifier","Complexity",7
"1502","11/5/19","Complexity","13","FURIA","16","Nuke","ESL One Cologne 2019 North America Closed Qualifier","FURIA",3
"1503","10/5/19","Natus Vincere","16","Cloud9","7","Mirage","BLAST Pro Series Madrid 2019","Cloud9",9
"1504","10/5/19","NiP","16","ENCE","5","Nuke","BLAST Pro Series Madrid 2019","ENCE",11
"1505","10/5/19","FURIA","16","Envy","14","Mirage","ESL One Cologne 2019 North America Closed Qualifier","FURIA",2
"1506","10/5/19","Envy","12","FURIA","16","Nuke","ESL One Cologne 2019 North America Closed Qualifier","FURIA",4
"1507","10/5/19","AVANGAR","16","North","8","Inferno","ESL One Cologne 2019 Europe Closed Qualifier","North",8
"1508","10/5/19","North","11","AVANGAR","16","Mirage","ESL One Cologne 2019 Europe Closed Qualifier","AVANGAR",5
"1509","10/5/19","Astralis","16","NiP","8","Dust2","BLAST Pro Series Madrid 2019","NiP",8
"1510","10/5/19","ENCE","16","Natus Vincere","4","Mirage","BLAST Pro Series Madrid 2019","Natus Vincere",12
"1511","10/5/19","Heroic","14","Vitality","16","Overpass","ESL One Cologne 2019 Europe Closed Qualifier","Vitality",2
"1512","10/5/19","Heroic","8","Vitality","16","Nuke","ESL One Cologne 2019 Europe Closed Qualifier","Heroic",8
"1513","10/5/19","Vitality","12","Heroic","16","Mirage","ESL One Cologne 2019 Europe Closed Qualifier","Heroic",4
"1514","10/5/19","AVANGAR","16","HellRaisers","12","Train","ESL One Cologne 2019 Europe Closed Qualifier","AVANGAR",4
"1515","10/5/19","AVANGAR","16","HellRaisers","11","Dust2","ESL One Cologne 2019 Europe Closed Qualifier","AVANGAR",5
"1516","10/5/19","OpTic","12","North","16","Nuke","ESL One Cologne 2019 Europe Closed Qualifier","North",4
"1517","10/5/19","North","16","OpTic","2","Dust2","ESL One Cologne 2019 Europe Closed Qualifier","OpTic",14
"1518","9/5/19","Chaos","14","HellRaisers","16","Overpass","ESL One Cologne 2019 Europe Closed Qualifier","HellRaisers",2
"1519","9/5/19","Chaos","16","HellRaisers","11","Train","ESL One Cologne 2019 Europe Closed Qualifier","Chaos",5
"1520","9/5/19","HellRaisers","16","Chaos","13","Mirage","ESL One Cologne 2019 Europe Closed Qualifier","HellRaisers",3
"1521","9/5/19","Envy","16","INTZ","11","Mirage","ESL One Cologne 2019 North America Closed Qualifier","Envy",5
"1522","9/5/19","INTZ","12","Envy","16","Dust2","ESL One Cologne 2019 North America Closed Qualifier","Envy",4
"1523","9/5/19","Envy","8","INTZ","16","Train","ESL One Cologne 2019 North America Closed Qualifier","Envy",8
"1524","9/5/19","Heroic","16","North","14","Overpass","ESL One Cologne 2019 Europe Closed Qualifier","Heroic",2
"1525","9/5/19","Heroic","9","North","16","Nuke","ESL One Cologne 2019 Europe Closed Qualifier","Heroic",7
"1526","9/5/19","North","4","Heroic","16","Mirage","ESL One Cologne 2019 Europe Closed Qualifier","North",12
"1527","9/5/19","AGO","10","pro100","16","Inferno","ESEA MDL Season 31 Europe","pro100",6
"1528","9/5/19","AVANGAR","10","Vitality","16","Cache","ESL One Cologne 2019 Europe Closed Qualifier","Vitality",6
"1529","9/5/19","Vitality","16","AVANGAR","8","Mirage","ESL One Cologne 2019 Europe Closed Qualifier","AVANGAR",8
"1530","9/5/19","x-kom","11","forZe","16","Inferno","ESEA MDL Season 31 Europe","forZe",5
"1531","9/5/19","HellRaisers","4","Heroic","16","Mirage","ESL One Cologne 2019 Europe Closed Qualifier","HellRaisers",12
"1532","9/5/19","Heroic","16","HellRaisers","9","Inferno","ESL One Cologne 2019 Europe Closed Qualifier","HellRaisers",7
"1533","9/5/19","HellRaisers","16","Heroic","11","Overpass","ESL One Cologne 2019 Europe Closed Qualifier","HellRaisers",5
"1534","9/5/19","AVANGAR","16","OpTic","10","Inferno","ESL One Cologne 2019 Europe Closed Qualifier","AVANGAR",6
"1535","9/5/19","OpTic","10","AVANGAR","16","Mirage","ESL One Cologne 2019 Europe Closed Qualifier","AVANGAR",6
"1536","9/5/19","AVANGAR","17","OpTic","19","Overpass","ESL One Cologne 2019 Europe Closed Qualifier","OpTic",2
"1537","9/5/19","Chaos","9","North","16","Inferno","ESL One Cologne 2019 Europe Closed Qualifier","Chaos",7
"1538","9/5/19","North","16","Chaos","8","Overpass","ESL One Cologne 2019 Europe Closed Qualifier","Chaos",8
"1539","8/5/19","GamerLegion","16","pro100","8","Mirage","ESEA MDL Season 31 Europe","pro100",8
"1540","8/5/19","AGO","6","Vitality","16","Overpass","ESEA MDL Season 31 Europe","AGO",10
"1541","8/5/19","Vitality","16","forZe","10","Overpass","ESEA MDL Season 31 Europe","Vitality",6
"1542","8/5/19","Movistar Riders","16","x-kom","11","Vertigo","ESEA MDL Season 31 Europe","Movistar Riders",5
"1543","8/5/19","Sprout","16","Chaos","11","Inferno","ESEA MDL Season 31 Europe","Sprout",5
"1544","8/5/19","Vitality","10","Virtus.pro","16","Mirage","ESEA MDL Season 31 Europe","Virtus.pro",6
"1545","8/5/19","forZe","16","Virtus.pro","7","Mirage","ESEA MDL Season 31 Europe","Virtus.pro",9
"1546","7/5/19","Virtus.pro","15","Chaos","19","Inferno","ESEA MDL Season 31 Europe","Chaos",4
"1547","7/5/19","pro100","16","Sprout","10","Inferno","ESEA MDL Season 31 Europe","pro100",6
"1548","7/5/19","Valiance","19","HAVU","17","Nuke","ESEA MDL Season 31 Europe","Valiance",2
"1549","6/5/19","Valiance","16","Sprout","2","Overpass","ESEA MDL Season 31 Europe","Sprout",14
"1550","6/5/19","Chaos","11","Tricked","16","Train","UCC Summer Smash","Tricked",5
"1551","6/5/19","Chaos","7","Tricked","16","Overpass","UCC Summer Smash","Chaos",9
"1552","5/5/19","Winstrike","11","Valiance","16","Inferno","DreamHack Open Summer 2019 Europe Closed Qualifier","Valiance",5
"1553","5/5/19","Valiance","16","Winstrike","12","Mirage","DreamHack Open Summer 2019 Europe Closed Qualifier","Valiance",4
"1554","5/5/19","AVANGAR","16","HellRaisers","8","Mirage","WePlay! Forge of Masters Season 1 Finals","HellRaisers",8
"1555","5/5/19","AVANGAR","16","HellRaisers","10","Dust2","WePlay! Forge of Masters Season 1 Finals","AVANGAR",6
"1556","5/5/19","Winstrike","16","AGO","11","Overpass","DreamHack Open Summer 2019 Europe Closed Qualifier","Winstrike",5
"1557","5/5/19","AGO","14","Winstrike","16","Mirage","DreamHack Open Summer 2019 Europe Closed Qualifier","Winstrike",2
"1558","5/5/19","Valiance","16","forZe","7","Vertigo","DreamHack Open Summer 2019 Europe Closed Qualifier","forZe",9
"1559","5/5/19","Valiance","16","forZe","3","Inferno","DreamHack Open Summer 2019 Europe Closed Qualifier","forZe",13
"1560","5/5/19","AGO","16","HAVU","11","Mirage","DreamHack Open Summer 2019 Europe Closed Qualifier","AGO",5
"1561","5/5/19","HAVU","12","AGO","16","Train","DreamHack Open Summer 2019 Europe Closed Qualifier","AGO",4
"1562","5/5/19","HAVU","22","AGO","19","Dust2","DreamHack Open Summer 2019 Europe Closed Qualifier","HAVU",3
"1563","5/5/19","Winstrike","16","Sprout","10","Train","DreamHack Open Summer 2019 Europe Closed Qualifier","Winstrike",6
"1564","5/5/19","Winstrike","12","Sprout","16","Nuke","DreamHack Open Summer 2019 Europe Closed Qualifier","Sprout",4
"1565","5/5/19","Sprout","5","Winstrike","16","Mirage","DreamHack Open Summer 2019 Europe Closed Qualifier","Sprout",11
"1566","5/5/19","forZe","16","Tricked","12","Nuke","DreamHack Open Summer 2019 Europe Closed Qualifier","forZe",4
"1567","5/5/19","Tricked","9","forZe","16","Inferno","DreamHack Open Summer 2019 Europe Closed Qualifier","Tricked",7
"1568","5/5/19","Liquid","16","fnatic","9","Inferno","IEM Sydney 2019","fnatic",7
"1569","5/5/19","Liquid","6","fnatic","16","Dust2","IEM Sydney 2019","Liquid",10
"1570","5/5/19","Liquid","16","fnatic","8","Mirage","IEM Sydney 2019","fnatic",8
"1571","5/5/19","fnatic","14","Liquid","16","Overpass","IEM Sydney 2019","Liquid",2
"1572","5/5/19","fnatic","16","Liquid","10","Cache","IEM Sydney 2019","fnatic",6
"1573","4/5/19","pro100","17","Winstrike","19","Mirage","DreamHack Open Summer 2019 Europe Open Qualifier","Winstrike",2
"1574","4/5/19","HellRaisers","19","AVANGAR","22","Mirage","WePlay! Forge of Masters Season 1 Finals","AVANGAR",3
"1575","4/5/19","AVANGAR","16","HellRaisers","10","Inferno","WePlay! Forge of Masters Season 1 Finals","AVANGAR",6
"1576","4/5/19","fnatic","16","NRG","10","Mirage","IEM Sydney 2019","fnatic",6
"1577","4/5/19","fnatic","8","NRG","16","Train","IEM Sydney 2019","fnatic",8
"1578","4/5/19","NRG","11","fnatic","16","Inferno","IEM Sydney 2019","fnatic",5
"1579","4/5/19","MIBR","15","Liquid","19","Nuke","IEM Sydney 2019","Liquid",4
"1580","4/5/19","Liquid","16","MIBR","10","Mirage","IEM Sydney 2019","Liquid",6
"1581","3/5/19","Vitality","16","ENCE","13","Nuke","ESEA MDL Season 31 Europe","Vitality",3
"1582","3/5/19","GamerLegion","16","Windigo","14","Mirage","LOOT.BET Season 2","GamerLegion",2
"1583","3/5/19","Windigo","5","GamerLegion","16","Overpass","LOOT.BET Season 2","Windigo",11
"1584","3/5/19","fnatic","22","NiP","20","Dust2","IEM Sydney 2019","fnatic",2
"1585","3/5/19","fnatic","23","NiP","25","Overpass","IEM Sydney 2019","NiP",2
"1586","3/5/19","NiP","9","fnatic","16","Cache","IEM Sydney 2019","NiP",7
"1587","3/5/19","mousesports","10","MIBR","16","Overpass","IEM Sydney 2019","MIBR",6
"1588","3/5/19","MIBR","22","mousesports","19","Mirage","IEM Sydney 2019","MIBR",3
"1589","2/5/19","pro100","9","Tricked","16","Nuke","Kalashnikov Cup Season 2","pro100",7
"1590","2/5/19","Movistar Riders","16","ENCE","14","Nuke","ESEA MDL Season 31 Europe","Movistar Riders",2
"1591","2/5/19","NRG","16","MIBR","11","Overpass","IEM Sydney 2019","NRG",5
"1592","2/5/19","MIBR","4","NRG","16","Nuke","IEM Sydney 2019","MIBR",12
"1593","2/5/19","mousesports","16","BIG","4","Inferno","IEM Sydney 2019","BIG",12
"1594","2/5/19","BIG","2","mousesports","16","Mirage","IEM Sydney 2019","BIG",14
"1595","2/5/19","NiP","14","Liquid","16","Overpass","IEM Sydney 2019","Liquid",2
"1596","2/5/19","Liquid","16","NiP","11","Nuke","IEM Sydney 2019","Liquid",5
"1597","1/5/19","fnatic","9","MIBR","16","Overpass","IEM Sydney 2019","fnatic",7
"1598","1/5/19","MIBR","16","fnatic","4","Nuke","IEM Sydney 2019","fnatic",12
"1599","1/5/19","mousesports","16","Renegades","7","Inferno","IEM Sydney 2019","Renegades",9
"1600","1/5/19","Renegades","12","mousesports","16","Train","IEM Sydney 2019","mousesports",4
"1601","1/5/19","NRG","16","FaZe","11","Mirage","IEM Sydney 2019","NRG",5
"1602","1/5/19","FaZe","12","NRG","16","Train","IEM Sydney 2019","NRG",4
"1603","30/4/19","NoChance","13","Windigo","16","Inferno","LOOT.BET Season 2","Windigo",3
"1604","30/4/19","NoChance","9","Windigo","16","Mirage","LOOT.BET Season 2","NoChance",7
"1605","30/4/19","NiP","16","Renegades","12","Mirage","IEM Sydney 2019","NiP",4
"1606","30/4/19","Renegades","4","NiP","16","Nuke","IEM Sydney 2019","Renegades",12
"1607","30/4/19","BIG","3","Liquid","16","Overpass","IEM Sydney 2019","BIG",13
"1608","30/4/19","BIG","7","Liquid","16","Dust2","IEM Sydney 2019","BIG",9
"1609","30/4/19","fnatic","16","Heroic","7","Train","IEM Sydney 2019","Heroic",9
"1610","30/4/19","NiP","16","eUnited","13","Nuke","IEM Sydney 2019","NiP",3
"1611","30/4/19","BIG","16","mousesports","14","Inferno","IEM Sydney 2019","BIG",2
"1612","29/4/19","Tricked","14","Windigo","16","Dust2","LOOT.BET Season 2","Windigo",2
"1613","29/4/19","Tricked","7","Windigo","16","Overpass","LOOT.BET Season 2","Tricked",9
"1614","29/4/19","Tricked","16","Windigo","6","Nuke","LOOT.BET Season 2","Windigo",10
"1615","29/4/19","Nemiga","8","NoChance","16","Inferno","LOOT.BET Season 2","Nemiga",8
"1616","29/4/19","Nemiga","7","NoChance","16","Vertigo","LOOT.BET Season 2","Nemiga",9
