Date,Team1,Team2,Map,Event
21/12/19,Evolve (16),NOORG (6),"d2
                      Dust2",WESG 2019 LATAM South
21/12/19,Rejected (16),ex-Intic (6),"trn
                      Train",WESG 2019 LATAM South
21/12/19,ALTERNATE aTTaX (7),Unicorns of Love (16),"d2
                      Dust2",99Damage League Season 13
21/12/19,Unicorns of Love (16),ALTERNATE aTTaX (9),"vtg
                      Vertigo",99Damage League Season 13
21/12/19,Movistar Riders (16),KPI (6),"nuke
                      Nuke",WESG 2019 Central Europe & Iberia Closed Qualifier
21/12/19,KPI (13),Movistar Riders (16),"ovp
                      Overpass",WESG 2019 Central Europe & Iberia Closed Qualifier
21/12/19,ENCE (17),G2 (19),"trn
                      Train",Champions Cup Finals
21/12/19,G2 (14),ENCE (16),"d2
                      Dust2",Champions Cup Finals
21/12/19,G2 (16),ENCE (13),"mrg
                      Mirage",Champions Cup Finals
21/12/19,Nordavind (8),AGO (16),"d2
                      Dust2",LOOT.BET Season 5
21/12/19,Nordavind (6),AGO (16),"inf
                      Inferno",LOOT.BET Season 5
21/12/19,FATE (16),RADNICKI (14),"d2
                      Dust2",RES Season 1 Finals
21/12/19,FATE (16),RADNICKI (7),"ovp
                      Overpass",RES Season 1 Finals
21/12/19,Natus Vincere (14),Evil Geniuses (16),"d2
                      Dust2",EPICENTER 2019
21/12/19,Natus Vincere (10),Evil Geniuses (16),"mrg
                      Mirage",EPICENTER 2019
21/12/19,Unicorns of Love (16),ad hoc (11),"vtg
                      Vertigo",99Damage League Season 13
21/12/19,ad hoc (12),Unicorns of Love (16),"nuke
                      Nuke",99Damage League Season 13
21/12/19,HAVU (11),Winstrike (16),"d2
                      Dust2",LOOT.BET Season 5
21/12/19,HAVU (12),Winstrike (16),"nuke
                      Nuke",LOOT.BET Season 5
21/12/19,HAVU (16),Winstrike (10),"ovp
                      Overpass",LOOT.BET Season 5
21/12/19,forZe (12),Heroic (16),"nuke
                      Nuke",EPICENTER 2019
21/12/19,Heroic (16),forZe (6),"mrg
                      Mirage",EPICENTER 2019
21/12/19,KPI (13),BIG (16),"mrg
                      Mirage",WESG 2019 Central Europe & Iberia Closed Qualifier
21/12/19,BIG (16),KPI (14),"nuke
                      Nuke",WESG 2019 Central Europe & Iberia Closed Qualifier
21/12/19,KPI (16),BIG (13),"inf
                      Inferno",WESG 2019 Central Europe & Iberia Closed Qualifier
21/12/19,Nexus (14),SKADE (16),"ovp
                      Overpass",RES Season 1 Finals
21/12/19,SKADE (16),Nexus (13),"inf
                      Inferno",RES Season 1 Finals
21/12/19,BIG Academy (10),ad hoc (16),"d2
                      Dust2",99Damage League Season 13
21/12/19,BIG Academy (8),ad hoc (16),"nuke
                      Nuke",99Damage League Season 13
20/12/19,RED Canids (7),paiN (16),"ovp
                      Overpass",Brasileirão Season 1
20/12/19,paiN (16),RED Canids (14),"d2
                      Dust2",Brasileirão Season 1
20/12/19,SKADE (15),AGO (19),"d2
                      Dust2",LOOT.BET Season 5
20/12/19,AGO (11),SKADE (16),"inf
                      Inferno",LOOT.BET Season 5
20/12/19,AGO (16),SKADE (10),"trn
                      Train",LOOT.BET Season 5
20/12/19,Spirit (16),Hard Legion (5),"inf
                      Inferno",Champions Cup Finals
20/12/19,Spirit (16),Hard Legion (7),"d2
                      Dust2",Champions Cup Finals
20/12/19,ENCE (16),Movistar Riders (8),"mrg
                      Mirage",Champions Cup Finals
20/12/19,Movistar Riders (13),ENCE (16),"ovp
                      Overpass",Champions Cup Finals
20/12/19,Phoenix (16),LDLC (7),"d2
                      Dust2",WESG 2019 West Europe Closed Qualifier
20/12/19,Phoenix (16),LDLC (9),"inf
                      Inferno",WESG 2019 West Europe Closed Qualifier
20/12/19,BIG (15),Spirit (19),"mrg
                      Mirage",Champions Cup Finals
20/12/19,Spirit (10),BIG (16),"nuke
                      Nuke",Champions Cup Finals
20/12/19,BIG (11),Spirit (16),"d2
                      Dust2",Champions Cup Finals
20/12/19,Phoenix (16),Heretics (9),"mrg
                      Mirage",WESG 2019 West Europe Closed Qualifier
20/12/19,Phoenix (16),Heretics (6),"inf
                      Inferno",WESG 2019 West Europe Closed Qualifier
20/12/19,ENCE (16),TYLOO (10),"mrg
                      Mirage",Champions Cup Finals
20/12/19,TYLOO (13),ENCE (16),"inf
                      Inferno",Champions Cup Finals
19/12/19,Owned (12),Movistar Riders (16),"nuke
                      Nuke",WESG 2019 Central Europe & Iberia Closed Qualifier
19/12/19,Movistar Riders (13),Owned (16),"mrg
                      Mirage",WESG 2019 Central Europe & Iberia Closed Qualifier
19/12/19,Movistar Riders (16),Owned (14),"ovp
                      Overpass",WESG 2019 Central Europe & Iberia Closed Qualifier
19/12/19,ARCY (16),Nemiga (12),"mrg
                      Mirage",SECTOR: MOSTBET
19/12/19,Nemiga (6),ARCY (16),"vtg
                      Vertigo",SECTOR: MOSTBET
19/12/19,Phoenix (16),Fierce (9),"inf
                      Inferno",WESG 2019 West Europe Closed Qualifier
19/12/19,Phoenix (13),Fierce (16),"ovp
                      Overpass",WESG 2019 West Europe Closed Qualifier
19/12/19,Phoenix (16),Fierce (12),"mrg
                      Mirage",WESG 2019 West Europe Closed Qualifier
19/12/19,Evil Geniuses (10),forZe (16),"inf
                      Inferno",EPICENTER 2019
19/12/19,forZe (16),Evil Geniuses (1),"mrg
                      Mirage",EPICENTER 2019
19/12/19,Evil Geniuses (16),forZe (6),"nuke
                      Nuke",EPICENTER 2019
19/12/19,G2 (16),Hard Legion (7),"mrg
                      Mirage",Champions Cup Finals
19/12/19,Hard Legion (9),G2 (16),"vtg
                      Vertigo",Champions Cup Finals
19/12/19,Wisla Krakow (9),Nordavind (16),"inf
                      Inferno",LOOT.BET Season 5
19/12/19,Wisla Krakow (13),Nordavind (16),"ovp
                      Overpass",LOOT.BET Season 5
19/12/19,Espada (16),HAVU (19),"nuke
                      Nuke",SECTOR: MOSTBET
19/12/19,HAVU (16),Espada (4),"d2
                      Dust2",SECTOR: MOSTBET
19/12/19,FURIA (16),Movistar Riders (13),"nuke
                      Nuke",Champions Cup Finals
19/12/19,Movistar Riders (10),FURIA (16),"inf
                      Inferno",Champions Cup Finals
19/12/19,Heroic (9),Natus Vincere (16),"inf
                      Inferno",EPICENTER 2019
19/12/19,Heroic (6),Natus Vincere (16),"trn
                      Train",EPICENTER 2019
19/12/19,Natus Vincere (9),Heroic (16),"nuke
                      Nuke",EPICENTER 2019
19/12/19,G2 (16),BIG (12),"inf
                      Inferno",Champions Cup Finals
19/12/19,ex-Virtus.pro (10),Hard Legion (16),"mrg
                      Mirage",United Masters League Season 2
19/12/19,ex-Virtus.pro (6),Hard Legion (16),"ovp
                      Overpass",United Masters League Season 2
19/12/19,Movistar Riders (16),ENCE (7),"ovp
                      Overpass",Champions Cup Finals
19/12/19,forZe (16),Virtus.pro (10),"vtg
                      Vertigo",EPICENTER 2019
19/12/19,Virtus.pro (16),forZe (13),"inf
                      Inferno",EPICENTER 2019
19/12/19,forZe (16),Virtus.pro (3),"trn
                      Train",EPICENTER 2019
19/12/19,Hard Legion (16),Spirit (14),"trn
                      Train",Champions Cup Finals
19/12/19,EHOME (1),Heroic (16),"nuke
                      Nuke",EPICENTER 2019
19/12/19,Heroic (16),EHOME (5),"inf
                      Inferno",EPICENTER 2019
19/12/19,TYLOO (14),FURIA (16),"mrg
                      Mirage",Champions Cup Finals
19/12/19,DELIRAWOWZIK (16),Agressive (14),"nuke
                      Nuke",Aorus League 2019 #4 Finals
19/12/19,Agressive (8),DELIRAWOWZIK (16),"mrg
                      Mirage",Aorus League 2019 #4 Finals
19/12/19,Imperial (15),Redemption POA (19),"inf
                      Inferno",CBCS Season 2
19/12/19,Redemption POA (16),Imperial (7),"nuke
                      Nuke",CBCS Season 2
19/12/19,Imperial (16),Redemption POA (4),"trn
                      Train",CBCS Season 2
18/12/19,SKADE (7),HAVU (16),"ovp
                      Overpass",LOOT.BET Season 5
18/12/19,HAVU (16),SKADE (5),"nuke
                      Nuke",LOOT.BET Season 5
18/12/19,Nexus (16),Budapest Five (14),"trn
                      Train",RES Season 1
18/12/19,Budapest Five (16),Nexus (13),"mrg
                      Mirage",RES Season 1
18/12/19,Budapest Five (14),Nexus (16),"inf
                      Inferno",RES Season 1
18/12/19,mousesports (16),Evil Geniuses (4),"inf
                      Inferno",EPICENTER 2019
18/12/19,Evil Geniuses (11),mousesports (16),"trn
                      Train",EPICENTER 2019
18/12/19,FATE (16),Juggernauts (12),"trn
                      Train",RES Season 1
