date,team1,team1_score,team2,team2_score,map,event,winner,win_margin
8/2/19,G2,8,BIG,16,Cache,IEM Sydney 2019 Europe Closed Qualifier,G2,8
8/2/19,HAVU,4,Vexed,16,Mirage,United Masters League,HAVU,12
8/2/19,Vexed,7,HAVU,16,Train,United Masters League,Vexed,9
8/2/19,NoChance,16,AGO,9,Mirage,LOOT.BET HotShot Series Season 1,AGO,7
8/2/19,NoChance,8,AGO,16,Cache,LOOT.BET HotShot Series Season 1,NoChance,8
8/2/19,NoChance,16,AGO,6,Overpass,LOOT.BET HotShot Series Season 1,AGO,10
8/2/19,3DMAX,6,G2,16,Dust2,IEM Sydney 2019 Europe Closed Qualifier,3DMAX,10
8/2/19,G2,16,3DMAX,6,Inferno,IEM Sydney 2019 Europe Closed Qualifier,3DMAX,10
8/2/19,NoChance,16,forZe,14,Dust2,LOOT.BET HotShot Series Season 1,NoChance,2
8/2/19,forZe,14,NoChance,16,Mirage,LOOT.BET HotShot Series Season 1,NoChance,2
8/2/19,AVANGAR,16,Chaos,8,Overpass,LOOT.BET Season 1,Chaos,8
8/2/19,Chaos,12,AVANGAR,16,Cache,LOOT.BET Season 1,AVANGAR,4
8/2/19,TeamOne,14,Spacestation,16,Dust2,ESEA MDL Season 30 North America,Spacestation,2
8/2/19,MASSIVEimpact,16,Stay Frosty,10,Mirage,ESEA MDL Season 30 North America,MASSIVEimpact,6
8/2/19,Infamous,16,Denial,11,Mirage,ESEA MDL Season 30 North America,Infamous,5
8/2/19,Luminosity,9,Ghost,16,Inferno,IEM Sydney 2019 North America Closed Qualifier,Luminosity,7
8/2/19,Luminosity,16,Ghost,14,Train,IEM Sydney 2019 North America Closed Qualifier,Luminosity,2
8/2/19,Ghost,16,Luminosity,7,Overpass,IEM Sydney 2019 North America Closed Qualifier,Luminosity,9
8/2/19,TeamOne,16,Stay Frosty,6,Inferno,ESEA MDL Season 30 North America,Stay Frosty,10
8/2/19,Old Guys Club,11,Mythic,16,Dust2,ESEA MDL Season 30 North America,Mythic,5
8/2/19,Denial,11,Mythic,16,Nuke,ESEA MDL Season 30 North America,Mythic,5
8/2/19,All Knights,16,Quad,6,Mirage,ESL LA League Season 3 - Southern Cone,Quad,10
8/2/19,Swole Patrol,16,eUnited,10,Inferno,IEM Sydney 2019 North America Closed Qualifier,Swole Patrol,6
8/2/19,Swole Patrol,16,eUnited,1,Dust2,IEM Sydney 2019 North America Closed Qualifier,Swole Patrol,15
8/2/19,Imperial,6,Sharks,16,Train,ESL LA League Season 3 - Brazil,Imperial,10
8/2/19,Sharks,16,Imperial,8,Inferno,ESL LA League Season 3 - Brazil,Imperial,8
